Transaction ID,Date,Account Type,Transaction Amount,Cash Flow,Net Income,Revenue,Expenditure,Profit Margin,Debt-to-Equity Ratio,Operating Expenses,Gross Profit,Transaction Volume,Processing Time (seconds),Accuracy Score,Missing Data Indicator,Normalized Transaction Amount,Transaction Outcome
1,01-01-2025,Asset,1176,3184,"? 2,174.00","? 3,137.00","? 1,823.00",0.61,2.07,4098,"? 2,327.00",8,1.894685532,0.959936211,FALSE,0.218724448,1
2,02-01-2025,Asset,1291,3221,"? 3,236.00","? 4,694.00","? 2,746.00",0.36,2.35,3872,? 388.00,5,1.728989859,0.96638215,FALSE,0.242232216,1
3,03-01-2025,Revenue,4966,3309,"? 3,689.00","? 3,363.00","? 3,102.00",0.68,1.90,4780,"? 2,616.00",2,1.707099066,0.828306573,FALSE,0.993458708,1
4,04-01-2025,Expense,4641,1952,? 245.00,"? 4,373.00",? 808.00,0.22,0.93,4948,"? 2,237.00",8,1.750640693,0.984149111,FALSE,0.927023712,1
5,05-01-2025,Expense,2305,2131,"? 2,037.00","? 4,956.00",? 644.00,0.51,1.06,3289,"? 1,729.00",3,0.879707536,0.929107149,FALSE,0.449509403,1
6,06-01-2025,Revenue,3102,2795,"? 1,715.00",? 909.00,"? 3,287.00",0.44,2.55,3129,"? 1,770.00",2,1.294921781,0.882669476,FALSE,0.612428455,1
7,07-01-2025,Revenue,3847,2485,"? 3,955.00","? 4,309.00","? 3,011.00",0.77,2.19,3877,? 567.00,5,1.43032063,0.802491182,FALSE,0.764717907,1
8,08-01-2025,Asset,3061,4125,"? 3,477.00",? 612.00,"? 3,914.00",0.55,1.09,1875,"? 3,335.00",3,1.239120924,0.828076034,FALSE,0.604047424,1
9,09-01-2025,Expense,1490,2044,"? 1,907.00","? 3,273.00","? 1,045.00",0.41,2.93,4847,? 621.00,2,1.517136709,0.808086559,FALSE,0.282910875,1
10,10-01-2025,Liability,3265,3041,"? 2,905.00",? 898.00,"? 3,931.00",0.79,2.79,2001,"? 2,829.00",5,0.55829649,0.865846181,FALSE,0.64574816,1
11,11-01-2025,Expense,407,1700,"? 2,616.00","? 2,987.00",? 362.00,0.64,2.13,521,"? 3,648.00",7,0.576427826,0.910193915,FALSE,0.061529027,1
12,12-01-2025,Revenue,4768,1946,"? 3,422.00","? 2,035.00",? 534.00,0.49,2.74,3890,"? 3,378.00",2,0.502151047,0.848600053,FALSE,0.952984464,1
13,13-01-2025,Revenue,3197,3969,? 375.00,"? 2,739.00",? 272.00,0.77,1.85,4106,"? 1,070.00",9,0.609333805,0.922228916,FALSE,0.631847915,0
14,14-01-2025,Revenue,3997,3825,"? 3,205.00","? 4,541.00","? 2,145.00",0.60,2.41,2571,"? 1,689.00",8,1.613094171,0.94190407,FALSE,0.795380213,1
15,15-01-2025,Revenue,2244,2306,? 772.00,"? 4,540.00","? 3,912.00",0.75,1.86,1644,? 865.00,8,1.594167494,0.875158976,FALSE,0.437040065,1
